MONTH,UNIQUE_CARRIER,DEP_DELAY,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,TOTAL_DELAY
12,B6,6.2477128423599453,1.8580881478500624,2.9057166646940771,0.07287670526108414,2.838294588931884,0.030856294518496426,3.2452824637787225,8.1058009902100068
1,DL,17.412184334428286,13.455146953916353,6.6599193893564896,2.8074083321444698,3.7614673990581529,0.0024789556284776572,5.4721607932651128,30.867331288344637
2,DL,10.144927157458261,5.7520748774461019,4.4722512852686638,1.4963736290174037,3.1821365199523632,0.0035921620885529483,2.8078821280498447,15.897002034904363
3,DL,7.2121524058920281,2.4517243084883162,3.7479160556709674,0.40079254905909012,2.0528591910633036,0.0035722792524298351,2.58450989349106,9.6638767143803435
4,DL,5.1308715203384816,0.5055137023326951,3.0010449233188101,0.36279389531791656,1.9696635043089223,0.001777928449680293,1.9018742987043176,5.6363852226711764
5,DL,6.2905405020685112,1.5904060169270087,3.3303280065404359,0.38711724059310454,2.2395278700976595,0.025556633291584505,2.2863418485641804,7.8809465189955201
6,DL,8.9148498215937195,4.4026182876479858,3.8664895511031432,0.61990430077005754,2.8579576124752708,0.0013144314015466618,3.1097378216804046,13.317468109241705
7,DL,6.8347944733934396,0.65283222040675104,3.2689717203481248,0.53452122030216642,2.1057759766517403,0.00040379592618398588,2.230053160743827,7.4876266938001903
8,DL,7.0167822285591104,1.5854249525872859,3.657898208864494,0.71289608092291346,2.0015662830052512,0.0057624159925650535,2.3714948252186931,8.6022071811463956
9,DL,4.5122260233738745,0.11029629542133772,2.7621203129209415,0.85262305804940763,1.7793174197798542,0.0043024908246030559,1.6124966378917471,4.6225223187952125
10,DL,3.7784055457341532,-1.0361375366050094,2.2809599540527339,0.14648546423773798,1.7798681033029011,0.0023317140874392784,1.6740031961729678,2.7422680091291438
11,DL,5.0248862413058371,0.31187754446940064,2.7065627498842901,0.42666058205584595,2.3149194376464362,0.0047790900569302146,1.8695261301590251,5.3367637857752381
12,DL,5.2503057593311766,-3.2832326840215678,3.2432137056224155,0.30189597364150766,1.7279550863098363,0.00042003570303475793,1.230654287810806,1.9670730753096088
1,EV,22.330995848951233,19.588925160197025,7.9880103171728836,1.1743037923669355,5.0910006851251666,0.0039293918510458457,10.03713779067451,41.919921009148254
2,EV,23.12313825205592,19.400110119716928,8.4305948837779674,0.59852551163904233,4.6933208758211009,0.0074351076719722095,10.55061698023286,42.523248371772851
3,EV,15.30324536786271,11.146310175101572,5.6743758786515865,0.33800839365969398,3.7137572007413895,0.009295709628914758,7.3753165872750532,26.449555542964283
4,EV,13.088077182900731,8.3041037123250732,5.0226671240230676,0.27420546085456859,3.9226699488543755,0.0066182328681087437,6.1585073453122465,21.392180895225806
5,EV,14.943131570593366,9.5554235114038253,5.3012771553045592,0.34945593331362385,4.3817948867540872,0.010809292617134944,6.8021788481232024,24.498555081997189
6,EV,17.745283026542499,13.969251044300581,5.5749251675410214,0.6942058370032016,4.9887340948852126,0.0056925299178789751,8.4732545249830338,31.714534070843079
7,EV,12.983096776546878,8.6067805611918882,5.161788191724038,0.31751581379454985,3.3933379216546888,0.0,6.2583461623497181,21.589877337738766
8,EV,12.962233043817779,9.2731844916521737,5.083664944072102,0.34342635436783975,3.4741616395693389,0.0,6.518382936029818,22.235417535469953
9,EV,10.605910884492074,7.9411835639093082,4.5958989593328905,0.18765578362485086,3.6851883844963145,0.0,5.4815922088956359,18.547094448401381
10,EV,10.3844352786186,8.045837264778676,4.2514808694257917,0.14983320132874367,3.8690496502873262,0.0,5.6737226531905574,18.430272543397276
11,EV,8.115371890612824,4.6689886528074016,4.1217839756414243,0.12880997410407521,2.926323541938415,0.0,4.3653388189451743,12.784360543420226
12,EV,11.140697294415963,7.4634551011554429,4.9998549463854092,0.20419552344255026,3.0132655492442253,0.0,5.2084589344068606,18.604152395571404
1,F9,20.058729877941229,22.407571201132182,4.5791615071642982,0.81178135503272941,9.431452326198249,0.0,9.2865735007963472,42.466301079073411
2,F9,18.329278912580268,20.922541235561486,4.0532309108985398,0.46333101889970174,9.6588864314176188,0.0,8.3005014607779053,39.251820148141753
3,F9,10.518479840776152,12.626614157465566,2.4250861352223869,0.18925908903004635,6.5727362358792414,0.0,5.5537211791369074,23.14509399824172
4,F9,6.5033582464310511,7.4070924604463135,2.2646945231209794,0.12617016742097825,3.8266702315688512,0.0,4.0480998970607596,13.910450706877365
5,F9,12.882965755077318,14.318356357669009,3.5150697856878699,0.41123658937542801,7.1432961848020762,0.0,6.1821750939347559,27.201322112746325
6,F9,14.43911054458539,16.701743459169009,3.556392748354352,0.36148671171785568,7.0798180036959764,0.0,7.2533420567630875,31.140854003754399
